"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Hurricane Ike (September 2008)","Tropical Cyclone",20080912,20080914,41998.3,112
"U.S. Wildfires (Fall 2008)","Wildfire",20080901,20081130,1727.7,16
"U.S. Drought (2008)","Drought",20080101,20081231,10164.6,0
"Southeast/Ohio Valley Severe Weather (February 2009)","Severe Storm",20090210,20090211,2523.4,10
"Midwest/Southeast Tornadoes (March 2009)","Severe Storm",20090325,20090328,2362.3,0
"South/Southeast Severe Weather and Tornadoes (April 2009)","Severe Storm",20090409,20090410,2059.3,6
"Central Derecho and Tornadoes (May 2009)","Severe Storm",20090507,20090509,1239.8,7
"Midwest, South and East Severe Weather (June 2009)","Severe Storm",20090609,20090612,1885.8,0
"Colorado Hail Storm (July 2009)","Severe Storm",20090720,20090720,1430.0,0
"Georgia Flooding (September 2009)","Flooding",20090919,20090922,1275.9,10
"Western Wildfires (Summer-Fall 2009)","Wildfire",20090601,20091130,1436.8,10
"Southwest/Great Plains Drought (2009)","Drought",20090101,20091231,5063.4,0
"Northeast Winter Storm (February 2010)","Winter Storm",20100209,20100211,1160.2,3
"Northeast Flooding (March 2010)","Flooding",20100301,20100331,2618.9,11
"East/South Flooding and Severe Weather (May 2010)","Flooding",20100430,20100502,3218.0,32
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)","Severe Storm",20100510,20100512,4700.7,3
"Rockies/Central/East Severe Weather (June 2010)","Severe Storm",20100610,20100615,1270.5,2
"Midwest/Northeast Severe Storms and Flooding (July 2010)","Severe Storm",20100720,20100723,1337.2,0
"Arizona Severe Weather (October 2010)","Severe Storm",20101005,20101006,5320.0,0
"Groundhog Day Blizzard (February 2011)","Winter Storm",20110201,20110203,2493.9,36
"Midwest/Southeast Tornadoes and Derecho (April 2011)","Severe Storm",20110404,20110405,3802.1,9
"Southeast/Midwest Tornadoes (April 2011)","Severe Storm",20110408,20110411,2985.6,0
"Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110414,20110416,2821.1,38
"Ohio Valley Derecho and Southern Tornadoes (April 2011)","Severe Storm",20110419,20110420,1421.4,0
"Southeast/Ohio Valley/Midwest Tornadoes (April 2011)","Severe Storm",20110425,20110428,14004.1,321
"Midwest/Southeast Tornadoes (May 2011)","Severe Storm",20110522,20110527,12371.7,177
"Mississippi River flooding (April-May 2011)","Flooding",20110401,20110531,4150.5,7
"Midwest/Southeast Tornadoes and Severe Weather (June 2011)","Severe Storm",20110618,20110622,2090.6,3
"Missouri River flooding (May-June 2011)","Flooding",20110501,20110630,2783.3,5
"North Central Severe Weather (July 1, 2011)","Severe Storm",20110701,20110701,1207.7,0
"Rockies and Midwest Derecho (July 10-11, 2011)","Severe Storm",20110710,20110711,1679.6,2
"Midwest/Southeast Severe Weather (August 17-18, 2011)","Severe Storm",20110817,20110818,1566.0,0
"Hurricane Irene (August 2011)","Tropical Cyclone",20110826,20110828,18351.9,45
"Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,16631.1,95
"Tropical Storm Lee (September 2011)","Tropical Cyclone",20110901,20110905,3392.1,21
"Northeastern Winter Storm (October 2011)","Winter Storm",20111029,20111030,1258.1,1
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)","Wildfire",20110601,20111130,2476.2,5
"Southeast/Ohio Valley Tornadoes (March 2012)","Severe Storm",20120302,20120303,4192.7,42
"Texas Tornadoes (April 2012)","Severe Storm",20120402,20120403,1350.3,0
"Midwest Tornadoes (April 2012)","Severe Storm",20120413,20120414,1494.4,6
"Midwest/Ohio Valley Severe Weather (April-May 2012)","Severe Storm",20120428,20120501,4357.4,1
"Southern Plains/Midwest/Northeast Severe Weather (May 2012)","Severe Storm",20120525,20120530,3087.0,1
"Rockies/Southwest Severe Weather (June 2012)","Severe Storm",20120606,20120612,3481.0,0
"Plains/East/Northeast Derecho (June-July 2012)","Severe Storm",20120629,20120702,3870.6,28
"Hurricane Isaac (August 2012)","Tropical Cyclone",20120826,20120831,3675.4,9
"Hurricane Sandy (October 2012)","Tropical Cyclone",20121030,20121031,86502.7,159
"Western Wildfires (Summer-Fall 2012)","Wildfire",20120601,20121130,2329.6,8
"U.S. Drought/Heat Wave (2012)","Drought",20120101,20121231,40504.8,123
"Southern Severe Weather (February 2013)","Severe Storm",20130224,20130225,1217.0,1
"Southeast Severe Weather (March 2013)","Severe Storm",20130318,20130318,2666.5,1
"Midwest/Plains Severe Weather (April 2013)","Severe Storm",20130407,20130411,1906.1,1
"Illinois Flooding and Severe Weather (April 2013)","Flooding",20130416,20130419,1421.6,4
"Midwest/Plains/East Tornadoes (May 2013)","Severe Storm",20130518,20130522,3168.4,27
"Midwest/Plains/Northeast Tornadoes (May 2013)","Severe Storm",20130527,20130531,2393.8,10
"Midwest Severe Weather (August 2013)","Severe Storm",20130806,20130807,1365.0,0
"Colorado Flooding (September 2013)","Flooding",20130910,20130916,1976.1,9
"Ohio Valley Tornadoes (November 2013)","Severe Storm",20131117,20131117,1439.7,8
"Western/Plains Drought/Heat Wave (Spring-Fall 2013)","Drought",20130301,20131130,13866.6,53
"Midwest/Southeast/Northeast Winter Storm (January 2014)","Winter Storm",20140105,20140108,2846.4,16
